id,tipo,nome,categoria
1,O,Abnegação,CONSCIENCIALIDADE
2,O,Acalmia,ANTIEMOCIONALIDADE
3,O,Acuidade,CONSCIENCIALIDADE
4,O,Adaptabilidade,CONSCIENCIALIDADE
5,O,Afabilidade,CONSCIENCIALIDADE
6,O,Afetuosidade,CONSCIENCIALIDADE
7,O,Afinco,CONSCIENCIALIDADE
8,O,Aglutinação,CONSCIENCIALIDADE
9,O,Agradabilidade,CONSCIENCIALIDADE
10,O,Alegria,CONSCIENCIALIDADE
11,O,Altruísmo,CONSCIENCIALIDADE
12,O,Amizade,CONSCIENCIALIDADE
13,O,Amorosidade,CONSCIENCIALIDADE
14,O,Analiticidade,CONSCIENCIALIDADE
15,O,Ânimo,CONSCIENCIALIDADE
16,O,Antiofensividade,ANTIEMOCIONALIDADE
17,O,Argúcia,CONSCIENCIALIDADE
18,O,Argumentabilidade,COMUNICABILIDADE
19,O,Assertividade,CONSCIENCIALIDADE
20,O,Atenção,PRIORIZAÇÃO
21,O,Audácia,CONSCIENCIALIDADE
22,O,Autenticidade,CONSCIENCIALIDADE
23,O,Autesforço,CONSCIENCIALIDADE
24,O,Autocrítica,CONSCIENCIALIDADE
25,O,Autodecisão,CONSCIENCIALIDADE
26,O,Autodisciplina,PRIORIZAÇÃO
27,O,Autoimperdoamento,CONSCIENCIALIDADE
28,O,Autonomia,CONSCIENCIALIDADE
29,O,Autoridade,LIDERANÇA
30,O,Autossegurança,CONSCIENCIALIDADE
31,O,Benquerença,CONSCIENCIALIDADE
32,O,Bibliofilia,CONSCIENCIALIDADE
33,O,Bom humor,CONSCIENCIALIDADE
34,O,Bondade,CONSCIENCIALIDADE
35,O,Candura,CONSCIENCIALIDADE
36,O,Caráter,CONSCIENCIALIDADE
37,O,Carisma,LIDERANÇA
38,O,Cautela,CONSCIENCIALIDADE
39,O,Celeridade,CONSCIENCIALIDADE
40,O,Cientificidade,CONSCIENCIALIDADE
41,O,Civilidade,INVULGARIDADE
42,O,Clareza,COMUNICABILIDADE
43,O,Comedimento,CONSCIENCIALIDADE
44,O,Competência,CONSCIENCIALIDADE
45,O,Comprometimento,CONSCIENCIALIDADE
46,O,Concentração,CONSCIENCIALIDADE
47,O,Concessão,CONSCIENCIALIDADE
48,O,Confiabilidade,COERÊNCIA
49,O,Confiança,CONSCIENCIALIDADE
50,O,Constância,PRIORIZAÇÃO
51,O,Convivialidade,UNIVERSALIDADE
52,O,Cooperatividade,CONSCIENCIALIDADE
53,O,Coragem,CONSCIENCIALIDADE
54,O,Cordialidade,CONSCIENCIALIDADE
55,O,Cosmoética,COERÊNCIA
56,O,Cosmopolitanismo,UNIVERSALIDADE
57,O,Credibilidade,COERÊNCIA
58,O,Criatividade,CONSCIENCIALIDADE
59,O,Criteriosidade,CONSCIENCIALIDADE
60,O,Criticidade,CONSCIENCIALIDADE
61,O,Curiosidade,CONSCIENCIALIDADE
62,O,Decisão,CONSCIENCIALIDADE
63,O,Dedicação,CONSCIENCIALIDADE
64,O,Defensibilidade,CONSCIENCIALIDADE
65,O,Desapego,CONSCIENCIALIDADE
66,O,Despojamento,CONSCIENCIALIDADE
67,O,Detalhismo,PRIORIZAÇÃO
68,O,Determinação,PRIORIZAÇÃO
69,O,Didática,COMUNICABILIDADE
70,O,Dignidade,CONSCIENCIALIDADE
71,O,Dinamismo,CONSCIENCIALIDADE
72,O,Diplomacia,CONSCIENCIALIDADE
73,O,Disciplina,PRIORIZAÇÃO
74,O,Discrição,CONSCIENCIALIDADE
75,O,Disposição,CONSCIENCIALIDADE
76,O,Disponibilidade,CONSCIENCIALIDADE
77,O,Distinção,INVULGARIDADE
78,O,Economicidade,CONSCIENCIALIDADE
79,O,Educação,INVULGARIDADE
80,O,Eficiência,PRIORIZAÇÃO
81,O,Elegância,INVULGARIDADE
82,O,Eloquência,COMUNICABILIDADE
83,O,Empatia,CONSCIENCIALIDADE
84,O,Empirismo,CONSCIENCIALIDADE
85,O,Empreendedorismo,CONSCIENCIALIDADE
86,O,Engenhosidade,CONSCIENCIALIDADE
87,O,Epicentrismo,LIDERANÇA
88,O,Equanimidade,ANTIEMOCIONALIDADE
89,O,Equilíbrio,ANTIEMOCIONALIDADE
90,O,Erudição,INVULGARIDADE
91,O,Escrita,COMUNICABILIDADE
92,O,Estabilidade,CONSCIENCIALIDADE
93,O,Estética,COERÊNCIA
94,O,Estudiosidade,CONSCIENCIALIDADE
95,O,Exemplarismo,LIDERANÇA
96,O,Experimentação,CONSCIENCIALIDADE
97,O,Extroversão,CONSCIENCIALIDADE
98,O,Firmeza,CONSCIENCIALIDADE
99,O,Fitoconvivialidade,UNIVERSALIDADE
100,O,Flexibilidade,CONSCIENCIALIDADE
101,O,Foco,PRIORIZAÇÃO
102,O,Fortaleza,CONSCIENCIALIDADE
103,O,Franqueza,COMUNICABILIDADE
104,O,Generosidade,UNIVERSALIDADE
105,O,Gratidão,CONSCIENCIALIDADE
106,O,Harmonia,CONSCIENCIALIDADE
107,O,Heteroperdão,CONSCIENCIALIDADE
108,O,Histrionismo,CONSCIENCIALIDADE
109,O,Hombridade,CONSCIENCIALIDADE
